prob,vertices,arestas,densidade,pdg,bbgdelta,bbgstf,plidelta,plistf
0.1,10,1,0.0222,0.2515,0.0002,0.0001,0.0119,0.0157
0.1,10,1,0.0222,0.2598,0.0005,0.0001,0.0108,0.0129
0.1,10,4,0.0889,0.2582,0.0015,0.0012,0.0284,0.0208
0.1,10,4,0.0889,0.2613,0.0015,0.0004,0.0177,0.0099
0.1,10,6,0.1333,0.246,0.0029,0.0016,0.0292,0.0185
0.3,10,8,0.1778,0.2566,0.0023,0.1071,0.0356,0.0243
0.3,10,13,0.2889,0.2249,0.0449,1.5538,0.0698,0.0593
0.3,10,12,0.2667,0.2468,0.0412,0.2997,0.0635,0.0597
0.3,10,12,0.2667,0.2581,0.0716,0.0771,0.0935,0.0601
0.3,10,17,0.3778,0.2447,0.3545,1.7141,0.1463,0.0364
0.5,10,17,0.3778,0.2471,359,0.0061,0.1322,0.0562
0.5,10,25,0.5556,0.2229,4.108,0.0404,0.7168,1.0744
0.5,10,23,0.5111,0.277,3.3716,0.0365,0.6689,0.2125
0.5,10,19,0.4222,0.2574,0.8377,0.0271,0.5618,0.0383
0.5,10,26,0.5778,0.2619,5.5033,0.0849,1.1794,1.2967
0.7,10,28,0.6222,0.2111,10.349,1.3922,0.9007,1.2815
0.7,10,32,0.7111,0.2123,17.0138,5.1758,0.8713,1.3593
0.7,10,33,0.7333,0.2174,16.5634,4.2902,1.9226,1.4801
0.7,10,32,0.7111,0.2074,14.8062,0.4409,0.8967,0.0527
0.7,10,35,0.7778,0.2288,47.8265,6.52,3.1379,1.1978
0.9,10,40,0.8889,0.1726,47.585,13.5252,1.9686,1.5233
0.9,10,42,0.9333,0.1758,29.0042,4.5154,1.403,1.0559
0.9,10,38,0.8444,0.1826,34.3237,1.15,1.1742,0.0495
0.9,10,42,0.9333,0.166,46.4523,10.8979,1.469,1.1816
0.9,10,42,0.9333,0.1585,20.4704,2.2952,0.0928,0.0646
0.1,15,16,0.1524,18.7623,0.8387,0.8766,0.0879,0.0772
0.1,15,11,0.1048,18.9249,0.1508,0.0282,0.06,0.0469
0.1,15,10,0.0952,19414,0.0516,41,0.0462,0.0505
0.1,15,10,0.0952,19.1046,0.0514,0.0437,0.048,0.0561
0.1,15,15,0.1429,19.4142,0.968,0.1733,0.0739,0.0471
0.3,15,27,0.2571,18.8191,153.3028,144.9361,1.7412,1.5271
0.3,15,33,0.3143,18.5926,900.0,655.5087,2.3804,1.8392
0.3,15,25,0.2381,19.3349,118.0314,24.7585,0.6021,0.1831
0.3,15,47,0.4476,17.2387,900.0,900.0,13.5912,8.1365
0.3,15,26,0.2476,19.1799,144.1089,95.9129,0.7517,0.6739
0.5,15,59,0.5619,16.6505,900.0,900.0,30.2045,19.3987
0.5,15,53,0.5048,16.7148,900.0,900.0,19.1252,20.506
0.5,15,56,0.5333,16.5284,900.0,900.0,22.1073,11.7819
0.5,15,63,0.6,15.9486,900.0,900.0,41.3577,28.1442
0.5,15,54,0.5143,15.9727,900.0,900.0,20.8988,20.6971
0.7,15,71,0.6762,14.7705,900.0,900.0,59.3668,57.1034
0.7,15,79,0.7524,14.1843,900.0,900.0,236.3678,257.9647
0.7,15,79,0.7524,14.2263,900.0,900.0,368.3202,310.7801
0.7,15,75,0.7143,14.5852,900.0,900.0,202.5697,239.7873
0.7,15,77,0.7333,14.2499,900.0,900.0,56.8919,55.1051
0.9,15,97,0.9238,12.6786,900.0,900.0,255.2446,197.306
0.9,15,96,0.9143,12.3081,900.0,900.0,407.1343,331.0792
0.9,15,94,0.8952,13.1204,900.0,900.0,900.1575,773.1803
0.9,15,96,0.9143,12.8046,900.0,900.0,165.6825,131.0978
0.9,15,95,0.9048,12.8969,900.0,900.0,132.2415,134.0237
0.1,20,18,0.0947,22.9227,22.9489,22.9227,0.2117,0.0872
0.1,20,22,0.1158,58.0643,31.0353,58.0643,0.0948,0.0783
0.1,20,23,0.1211,70.2427,189.0121,70.2427,1.0873,0.071
0.1,20,19,0.1,60.3039,30.2956,60.3039,0.1217,0.1124
0.1,20,16,0.0842,6.7558,3.5331,6.7558,0.0583,0.0586
0.3,20,60,0.3158,900.0,900.0,900.0,64.9643,56.1137
0.3,20,48,0.2526,900.0,900.0,900.0,26.4769,21.9379
0.3,20,52,0.2737,900.0,900.0,900.0,50.4009,42.5862
0.3,20,65,0.3421,900.0,900.0,900.0,96.8566,96.3595
0.3,20,55,0.2895,900.0,900.0,900.0,38.8409,523.77
0.5,20,103,0.5421,900.0,900.0,900.0,900.1386,900.1529
0.5,20,95,0.5,900.0,900.0,900.0,900.0994,900.097
0.5,20,106,0.5579,900.0,900.0,900.0,900.1658,900.097
0.5,20,84,0.4421,900.0,900.0,900.0,422388,192.0769
0.5,20,93,0.4895,900.0,900.0,900.0,869.3215,671.4922
0.7,20,138,0.7263,900.0,900.0,900.0,900153,900.1128
0.7,20,131,0.6895,900.0,900.0,900.0,900.1816,900.1406
0.7,20,131,0.6895,900.0,900.0,900.0,900.1664,900.1506
0.7,20,126,0.6632,900.0,900.0,900.0,900.236,900.1006
0.7,20,142,0.7474,900.0,900.0,900.0,900.2769,900.1489
0.9,20,174,0.9158,900.0,900.0,900.0,900.2701,900.1445
0.9,20,170,0.8947,900.0,900.0,900.0,900.2477,900.1718
0.9,20,176,0.9263,900.0,900.0,900.0,900.1885,900.2173
0.9,20,177,0.9316,900.0,900.0,900.0,900.2152,900.2156
0.9,20,173,0.9105,900.0,900.0,900.0,900.228,900.2024
0.1,25,24,0.08,900.0,900.0,900.0,0.5229,0.4831
0.1,25,24,0.08,900.0,900.0,900.0,0.1715,0.1365
0.1,25,26,0.0867,900.0,841.2043,900.0,0.1849,0.1633
0.1,25,42,0.14,900.0,900.0,900.0,7.7589,8.5693
0.1,25,33,0.11,900.0,900.0,900.0,0.1703,0.1446
0.3,25,92,0.3067,900.0,900.0,900.0,390.7195,900.0847
0.3,25,109,0.3633,900.0,900.0,900.0,900.1336,900.0838
0.3,25,86,0.2867,900.0,900.0,900.0,327.2523,365.164
0.3,25,87,0.29,900.0,900.0,900.0,541.5691,900.0827
0.3,25,87,0.29,900.0,900.0,900.0,690.3803,662.0801
0.5,25,152,0.5067,900.0,900.0,900.0,900.2666,900.1233
0.5,25,150,0.5,900.0,900.0,900.0,900.2006,900.1283
0.5,25,151,0.5033,900.0,900.0,900.0,900.1998,900.1512
0.5,25,170,0.5667,900.0,900.0,900.0,900.1692,900.1564
0.5,25,142,0.4733,900.0,900.0,900.0,900.1573,900.1562
0.7,25,213,0.71,900.0,900.0,900.0,900.2199,900.1791
0.7,25,213,0.71,900.0,900.0,900.0,900.2241,900.1762
0.7,25,208,0.6933,900.0,900.0,900.0,900.1804,900.1928
0.7,25,199,0.6633,900.0,900.0,900.0,900.244,900.1347
0.7,25,201,0.67,900.0,900.0,900.0,900.2087,900.1477
0.9,25,270,0.9,900.0,900.0,900.0,900.3176,900.2648
0.9,25,266,0.8867,900.0,900.0,900.0,900.2874,900.2133
0.9,25,272,0.9067,900.0,900.0,900.0,900.2522,900.2233
0.9,25,274,0.9133,900.0,900.0,900.0,900.2752,900.2903
0.9,25,276,0.92,900.0,900.0,900.0,900.3682,900.2459
